19km 	19 km 
farmhaldi 	framhaldi 
fassan 	fastan 
fasstar 	fastar 
fasteiganna 	fasteignanna 
feikivinæl 	feikivinsæl 
fellibyjla 	fellibylja 
feministi 	femínisti 
fernhyrndu 	ferhyrndu 
fertugsaldi 	fertugsaldri 
ferðaskrifstaofa 	ferðaskrifstofa 
ffrumvarp 	frumvarp 
filippínski 	filippeyski 
filippískum 	filippseyskum 
fimmtugann 	fimmtugan 
fimtán 	fimmtán 
finndist 	fyndist 
firir 	fyrir 
fjarskildar 	fjarskyldar 
fjlótt 	fljótt 
fjárhagsörðuleika 	fjárhagsörðugleika 
fjárhagsörðuleikunum 	fjárhagsörðugleikum 
fjármagnshöfum 	fjármagnshöftum 
fjármálráðherra 	fjármálaráðherra 
fjárstyrkum 	fjárstyrkjum 
fjórtða 	fjórða 
fjölbreitta 	fjölbreytta 
fjölbreittara 	fjölbreyttara 
fjöldabyggina 	fjölda bygginga 
fjöldan 	fjöldann 
fjöldaoft 	margoft 
fjöldataöluna 	fjöldatöluna 
fjölmiðunum 	fjölmiðlunum 
fjörtíu 	fjörutíu 
fjöskydur 	fjölskyldur 
flaueliskaka 	flauelskaka 
fleirra 	fleira  
fleirri 	fleiri 
fleiru 	fleira 
fleitir 	fleytir 
fleygð 	fleygði 
fljótega 	fljótlega 
fljótelga 	fljótlega 
flugtímarisins 	flugtímaritsins 
flutist 	fluttist 
fluttin 	flutti 
fluttningi 	flutningi 
flótlegast 	fljótlegast 
flúorljósi 	flúrljós 
folk 	fólk 
fomaður 	formaður 
fornleifarrannsóknir 	fornleifarannsóknir 
forráðamen 	forráðamenn 
forsetan 	forsetann 
forsteatíð 	forsetatíð 
forsætisræðherra 	forsætisráðherra 
framaf 	fram af 
framfjóðenda 	frambjóðanda 
framfæturnar 	framfæturna 
framhaldsskólnum 	framhaldsskólanum
framistöðu 	frammistöðu 
framkæmdar- 	framkvæmdar- 
frammhaldið 	framhaldið 
framsóknu-rokki 	framsækið rokk 
framvkæmdum 	framkvæmdum 
framúr 	fram úr 
freistust 	freistuðust 
frestingar 	freistingar 
friðsamlegari 	friðsamlegri 
fráfræði 	fáfræði 
fréttyum 	fréttum 
fundit 	fundist 
furðskepnan 	furðuskepnan
fyirr 	fyrir 
fynndið 	fyndið 
fyr 	fyrr
fyri 	fyrir 
fyribæri 	fyrirbæri 
fyrimann verið 	fyrirmann 
fyrirlið 	fyrirliði 
fyrirpsurnir 	fyrirspurnir 
fyrirtæksins 	fyrirtækisins 
fyrirtækum 	fyrirtækjum 
fyrrvernandi 	fyrrverandi 
fyrðum 	firðum 
færrri 	færri 
félagsheildinn 	félagsheildin 
félgaslífið 	félagslífið 
fést 	fékkst 
fók 	fólk 
fótana 	fótanna 
förunatur 	förunautur 
gagngrunns triggerum 	gagnagrunns gikkjum 
gagngrýni 	gagnrýni 
gagnráð 	gangráð 
gangkynhneigðum 	gagnkynhneigðum 
ganglegum 	gagnlegum 
gangvart 	gagnvart 
gannislag 	gamnislag 
gegkk 	gekk
gengdarlausra 	gegndarlausra 
gengdarlausum 	gegndarlausum 
gengdi 	gegndi 
genge 	gengu 
ghafi 	hafi 
greinþar 	grein þar 
grendinni 	grenndinni 
greyjinu 	greyinu
griðalega 	gríðarlega 
grunnskólamenntunninnar 	grunnskólamenntunnarinnar 
gríðalega 	gríðarlega 
grót 	grjót 
gullmyllan 	gullnáma 
guðana 	guðanna 
gáu 	gráu 
gírkasavandræði 	gírkassavandræði 
hafnarsvæðisisn 	hafnarsvæðisins 
hafstaum 	hafstraum 
hafð 	hafði 
hamlaust 	hamslaust 
han 	hann 
handana 	handanna 
handknatleiksstúlka 	handknattleikskona 
handknatleiksstúlka 	handknattleiksstúlka 
handleggum 	handleggjum 
handrið 	handrit 
hanns 	hans
hanns 	hans 
harnað 	harðnað 
harðadiska 	harða diska 
harðadiska 	harðdiska 
harðjkarnapönkstefnunni 	harðkjarnapönkstefnunni 
hefbundin 	hefðbundin 
hefrur 	hefur 
hefu 	hefur 
hefðbundu 	hefðbundnu 
hefðbunin 	hefðbundin 
heilbriðisráðherra 	heilbrigðisráðherra 
heimaslóðirnir 	heimaslóðirnar 
heimaveilli 	heimavelli 
heimilidir 	heimildir 
heimilsmaður 	heimilismaður 
heimkinnum 	heimkynnum 
heimsstyrjaldinnar 	heimsstyrjaldarinnar 
heimstyrjöldinna 	heimsstyrjöldinni 
hemi 	heimi 
hengu 	héngu 
henntist 	hentist 
henntugasta 	hentugasta 
hentunum 	hnetunum 
hertogakrórónan 	hertogakórónan 
hertogaynjaf 	hertogaynja 
herðnaðarlega 	hernaðarlega 
heyvinnlsu verkfæri 	heyvinnsluverkfærum 
hilja 	hylja 
hinnihaldi 	innihaldi 
hinns 	hins 
hinsv egar 	hins vegar 
his 	hið 
hitastiginn 	hitastigið 
hjartslátti 	hjartslætti 
hjóðupptöku 	hljóðupptöku 
hliðiná 	hliðina á 
hljomsveitin 	hljómsveitin 
hljókerfi 	hljóðkerfi 
hljómsveiarinnar 	hljómsveitarinnar 
hljómsveitinFleetwood Macmuni 	hljómsveitin Fleetwood Mac muni 
hljómsveitini 	hljómsveitinni 
hljómveitum 	hljómsveitum 
hljóðgerfla 	hljóðgervla 
hljóðmaði 	hljómaði 
hllutinn 	hlutinn 
hltutverk 	hlutverk 
hluat 	hlaut 
hlustðu 	hlustuðu 
hlutfal 	hlutfall 
hlutsta 	hlusta 
hlómar 	hljómar 
hlýjann 	hlýjan 
hlýtar 	hlítar 
hneiksluð 	hneyksluð 
hollann 	hollan 
hreinilega 	hreinlega 
hrekkjagjörn 	hrekkjótt 
hrifinir 	hrifin 
hryggstykkið 	hryggjarstykkið 
hryðjuverkjum 	hryðjuverkum 
hrökuðu 	hrakaði 
hughvarft 	hughvarf 
hugsunagangur 	hugsanagangur 
hun 	hún 
hundruði 	hundruð 
hundruðir 	hundruð 
hungurssneyð 	hungursneyð 
hven 	hvern 
hvenig 	hvernig 
hverjari 	hverri 
hverngi 	hvernig 
hvernir 	hvernig 
hvorteð 	hvort eð 
hvítabjörnin 	hvítabjörninn 
hyggðist 	hygðist 
háaðillinn 	fyrir háaðalinn 
háfleiks 	hálfleiks 
háfleikstölur 	hálfleikstölur
háflnaður 	hálfnaður 
hákólanám 	háskólanám
hálendinsins 	hálendisins 
hálfeik 	hálfleik 
hármarki 	hámarki 
hásterkt 	hástert 
hátínni 	hátíðinni 
hætlar 	ætlar 
hæðsta 	hæsta 
hæðsti 	hæsti 
hæðstu 	hæstu 
héllt 	hélt 
höfundin 	höfundinn 
höfuðborgarninnar 	höfuðborgarinnar 
högi 	höggi 
högðu 	einnig höfðu 
höufm 	höfum 
hússin 	hússins 
hýbýli 	híbýli 
inblástur 	innblástur 
innaginn 	innganginn 
innanfrá 	innan frá 
innanhúshönnun 	innanhússhönnun 
inneignanótu 	inneignarnótu 
innfæddann 	innfæddan 
inngangsgöngum 	inngöngum 
innihéltu 	innihalda 
innliksa 	innlyksa 
innlimu 	innlimuðu 
innvíga 	innvígðra 
inní 	inn í 
inní 	inni í 
insigli 	innsigli 
insligl 	innsigli 
inst 	innst 
isnnar 	sinnar 
iðjuleysingar 	iðjuleysingjar 
iðnaðarfyrirtækjar 	iðnaðarfyrirtækja 
iðullega 	iðulega 
jafnfram 	jafnframt 
jarðvegnum 	jarðveginum 
jaðfundnum  	jarðfundnum
jeppan 	jeppann 
jöfunarþró 	jöfnunarþró 
kafti 	krafti 
kakter 	karakter 
kaldt 	kalt 
kalífarninr 	kalífarnir 
kandidatspróf 	kandídatspróf 
kanntinum 	kantinum 
kanski 	kannski 
kantmanninm 	kantmanninum 
karneval 	Karnival 
karneval 	karnival 
karnevalsprinsinum 	karnivalsprinsinum 
karnevalssafnið 	karnivalssafnið 
kasstar 	kastar 
katalanska 	katalónska 
keisarafjölskyldunar 	keisarafjölskyldunnar 
keisaraynjunar 	keisaraynjunnar 
keistarynju 	keisaraynju 
kensluháttum 	kennsluháttum 
keppiefli 	keppikefli 
keppninar 	keppninnar 
keppninna 	keppninni 
kirkjunstaðnum 	kirkjustaðnum 
kissa 	kyssa 
kjarnan 	hismið 
kjálpaharpa 	kjálkaharpa 
klafs 	krafs 
klaufanlegt 	klaufaleg 
klárlegt 	klárt 
kmoast 	komast 
knattspyrnusasmbandsins 	knattspyrnusambandsins 
komedía 	kómedía 
kommonistaflokksins 	kommúnistaflokksins 
konuninni 	konunni 
kosningana 	kosninganna
kosningana 	kosningarnar 
kreptan 	krepptan 
krossnefar 	krossnefir 
kufungamyndirnar 	kuðungamyndirnar 
kvennar 	kvenna 
kvennkyns 	kvenkyns 
kvennmenn 	kvenmenn 
kvikinnskots 	kvikuinnskots 
kvikmyndahátiðir 	kvikmyndahátíðir 
kyningar 	kynningar 
kynþáttsins 	kynþáttarins 
kínvesk 	kínversk 
kóngnum 	kónginum 
kóreanska 	kóreska 
kóreanskri 	kóreskri 
kóreanskur 	kóreskur 
kóronur 	kórónur 
kúnnan 	kúnnann 
lagahöfunum 	lagahöfundum 
landai 	landi 
landsliðsþjállfari 	landsliðsþjálfari 
landslðisþjálfara 	landsliðsþjálfara 
langin 	langinn 
langvegginir 	Langveggirnir 
langði 	langaði 
lausann 	lausan 
lausrr 	lausri 
laveiðiá 	laxveiðiá 
leggji 	leggi 
leggði 	legði 
legst 	leggst 
leikkkona 	leikkona 
leikritisins 	leikritsins 
leiðingjarnt 	leiðigjarnt 
leiðnni 	leiðinni 
lespíur 	lesbíur 
leyddi 	leiddi 
leyddu 	leiddu 
leyta 	leita 
liklega 	líklega 
lipurlegum 	liprum 
lirfunar 	lirfurnar 
listamðurinn 	listamaðurinn 
litaúralið 	litaúrvalið 
litbrygði 	litbrigði 
liðinum 	liðunum 
liðuðst 	liðuðust 
ljúfengan 	ljúffengan 
lls 	alls 
llykilorð 	lykilorð 
lofárásum 	loftárásum 
lokst 	loks 
lugnakrabbamein 	lungnakrabbamein 
lugnakrabbameini 	lungnakrabbameini 
lyfum 	lyfjum 
lyggja 	liggja 
lánaðann 	lánaðan 
lífeyrisgreiðslan 	lífeyrisgreiðslna 
líffrænum 	lífrænum 
lífssins 	lífsins 
líkaman 	líkamann 
líkamslegaformi 	líkamlega formi 
lírunar 	lírunnar 
lítlu 	litlu 
lögreglumannannna 	lögreglumannanna 
lögreglunar 	lögreglunnar 
lögreglunna 	lögreglunnar 
lögreglustjóran 	lögreglustjórann 
lögrelgu 	lögreglu 
lýðræðishreifinga 	lýðræðishreyfinga 
lýðvelsis 	lýðveldisins 
mai 	maí 
makríllnn 	makríll 
mannana 	mannanna 
mannesku 	manneskju 
mannnlegs 	mannlegs 
mannseskja 	manneskja 
mannvistaleyfar 	mannvistarleifar 
margskonarar 	margskonar 
maríjuana 	maríjúana 
med 	með 
meginn 	megin 
megnmegnis 	mestmegnis 
meirimáttar 	meiri máttar 
meistaratitlanna 	meistaratitlana 
meistaverk 	meistaraverk 
mennigarsvæða 	menningarsvæða 
menntunnar 	menntunar 
mentun 	menntun 
mestann 	mestan 
mexikókst 	mexíkóskt 
meðann 	meðan 
meðlimirQueenmeðAdam Lambertsem 	meðlimir Queen með Adam Lambert sem 
mikin 	mikinn 
miklið 	mikið 
miljarða 	milljarða 
miljarðar 	milljarða 
miljarðar 	milljarðar 
miljónir 	milljónir 
milljöðrum 	milljörðum 
minkaskinn 	minnkaskinna 
minkuðu 	minnkuðu 
minnimáttar 	minni máttar 
mishamingjusamt 	mis hamingjusamt 
miskilja 	misskilja 
miskun 	miskunn 
miskunsamur 	miskunnsamur 
mismundandi 	mismunandi 
misttu 	misstu 
mistókast 	mistókst 
miðan 	miðann 
miðjann 	miðjan 
miðjantíunda áratuguginn 	miðjan tíunda áratuginn 
miðlil 	miðil 
miðsonur 	miðjusonur 
miðstöðum 	miðstöðvum 
mkinn 	mikinn 
mnnkar 	minnkar 
mogsturinn 	moksturinn 
moksunnar 	moskunnar 
mungígan 	munngígjan 
munnanns 	munnans
myndustu 	mynduðust 
mynlistarmaður 	myndlistarmaður 
mynnast 	minnast 
málfræðinginum 	málfræðingnum 
málsmíði 	málmsmíði 
málískur 	mállýskur 
mánuða 	mánuði 
míkrógröm 	míkrógrömm 
mómælin 	mótmælin 
möffinsform 	múffuform 
mörgþúsund 	mörgum þúsundum 
múslimalöndum 	löndum þar sem múslímar búa 
múslimskir 	múslímskir 
múslimskum 	múslímskum 
múslimstrúar 	múslímar 
nagdýum 	nagdýrum 
naglan 	naglann 
nauðsinlegur 	nauðsynlegur 
nauðsynum 	nauðsynjum 
nefndana 	nefndanna 
nefninlega 	nefnilega 
neita 	neyta 
nemd botnsskimun 	nefnd botnskimun 
netyenda 	neytenda 
neðanjarðarbirgi 	neðanjarðarbyrgi 
niðrá 	niður á
niðrá 	niður á 
niðurbtoin 	niðurbrotin 
niðureftir 	niður eftir
niðurröðum 	niðurröðun 
niðurstöðuum 	niðurstöðum um 
nokkir 	nokkrir 
nokkkurri 	nokkurri 
nokkura 	nokkurra 
nokkurntíman 	nokkurn tímann 
nokkurð 	nokkuð 
norðuhveli 	norðurhveli 
nosrka 	norska 
notaðaur 	notaður 
náskilið 	náskylt 
náttúrlega 	náttúrulega 
næringaríkar 	næringarríkar 
nærinu 	næringu 
nærra 	nærri 
næsstu 	næstu 
nó 	nóg 
nún 	nú 
núþegar 	nú þegar 
nýji 	nýi 
nýjir 	nýir 
nýjársnótt 	nýársnótt 
nýum 	nýjum 
nýðast 	níðast 
ofaná 	ofan á 
offast 	oftast 
ofðið 	orðið 
ofþennsla 	ofþensla 
ofþennslu 	ofþenslu 
olíbrunnur 	olíubrunnur 
orkukræft 	orkufrekt 
orðinir 	orðnir 
orðstí 	orðstír 
palestískan 	palestínskan 
pappírsklippi 	klippimyndaforminu 
partu 	partur 
penginum 	peningum 
peningunu 	peningunum 
plötufyritækjum 	plötufyrirtækjum 
post-rokk 	póst-rokk 
prjónapreysur 	prjónapeysur 
prufun 	prufa 
prófesor 	prófessor 
prófkjara 	prófkjöra 
puntkum 	punktum 
póstskipun 	póstskipinu 
rannasaka 	rannsaka 
rauðann 	rauðan 
refað 	refsað 
regnskúum 	regnskúrum 
regubundna 	reglubundna 
reikningin 	reikninginn 
reipitogu 	reiptitogi 
reitamunsturum 	reitamunstrum 
reykræstinu 	reykræstingu 
reystir 	reistir
rifbrein 	rifbein 
ruppluðu 	rupluðu 
ráköst 	fráköst 
rífuðust 	rifust 
ríkissakskóknari 	ríkissaksóknari 
ríkissins 	ríkisins 
ríkisstjórnarinna 	ríkisstjórnarinnar 
ríkistjórn 	ríkisstjórn 
rómanríska 	rómantíska 
rúsinufingur 	rúsínufingur 
saksóknaranns 	saksóknarans 
saltkjets 	saltkjöts 
samanlagtt 	samanlagt 
samantengdum 	samtengdum 
samenstendur 	samanstendur 
samfélagins 	samfélagsins 
samfélagögum 	samfélögum 
samfélgas 	samfélags
samfélgasins 	samfélagsins 
samkeppnhæfni 	samkeppnishæfni 
samkynneigðir 	samkynhneigðir 
samkæmt 	samkvæmt 
samningu 	samningur 
samninum 	samningum 
samræmduprófin 	samræmdu prófin 
samstarsamning 	samstarfssamning 
samstyllingu 	samstillingu 
samstöðubóum 	samstöðubótum 
samvkæmt 	samkvæmt 
sandugan 	sendinn 
sannleikan 	sannleikann 
sedm 	sem 
sem ahfa 	hafa 
semeiginlegu 	sameiginlegu 
septmeber 	september 
settst 	settist 
seú 	séu  
sigdalinum 	sigdalnum 
silungin 	silunginn 
sind 	synd 
sitjast 	setjast 
siðari 	síðari 
sjoppumeningu 	sjoppumenningu 
sjáfsþurfarbúskap 	sjálfsþurftarbúskap 
sjálfstögð 	sjálfsögð 
sjálfsæðari 	sjálfstæðari 
sjálfþurftarbúskað 	sjálfsþurftarbúskap 
sjálskipuðum 	sjálfskipuðum 
sjávaútvegsmála 	sjávarútvegsmála 
sjíamúslimar 	sjítamúslimar 
sjónvarpsstöðum 	sjónvarpsstöðvum 
sjúkarhúsinu 	sjúkrahúsinu 
sjúkdómni 	sjúkdómi 
skammst 	skamms 
skamt 	skammt 
skapst 	skapast 
skattlaggningu 	skattlagningu 
