Query	Correction
áhyggur	áhyggjur
aímaríska	ameríska
ák	á;ál;ái
aká	aka
akámu	kámu
akíra	skíra
akureyre	Akureyri
akureyris	Akureyri
akureyry	Akureyri
akureyti	Akureyri
akurkykkja	akuryrkja
akvađ	ákvað
akvað	ákvað
akvaða	ákvaða
akvæð	atkvæð
ákvæð	ákvæði
akveða	ákveða
ákveda	ákveða
akveðinn	ákveðinn
ákveðja	ákveða
akveðnum	ákveðnum
akvöðrun	ákvörðun
akxa	aka
akyldi	skyldi
akyrta	skyrta
alæg	aðlæg
alæmur	slæmur
alain	alan
alasta	alast
alastan	alan
alátta	slátta
alaugu	laugu
albania	Albanía
albú,	albúm
albúm	albúm
albún	albúm
albúum	albúmum
alce	alice
aldamot	aldamót
aldarfjörðung	aldarfjórðung
aldeis	aldeilis
aldetré	aldintré
aldgamalt	eldgamalt
alðgamalt	allgamalt
aldíd	aldís
aldirnar.	aldirnar
aldr	aldri
aldre	aldrei
aldreg	aldrei
aldrey	aldrei
aldrin	aldri;aldurinn
aldrnara	aldurnara
aldurin	aldurinn
aldursgreinand	aldursgreinandi
aldurshniginn	aldurhniginn
alefi	alefli
aleinn.	aleinn
alérefti	lérefti
alesandra	Alexandra;Alessandro
alesandro	Alessandro
aleutíska	lettíska
alexandea	Alexander;Alexandra
alexander	Alexander
alexandfa	Alexandra
alexandre	Alexandra
alexis	Alexíus
alexsandra	Alexandra
aleygða	aleyða
alf	af
alfeins	aleins
alfhildarson	Álfhildarson
alfitar	aflitar
alflest	allflest
alfræđibók	alfræðibók
alfre	Alfreð
alfrun	alfriðun
alfrún	Álfrún
alftanes	Álftanes
alfur	álfur;Álfur
alfuri	alfari
alfurin	alfarin
algangsta	algangsa;algengasta
algegnur	algengur
algegt	algengt
algen	algeng
algendast	algengast
algendasta	algengasta
algerna	algera
algidur	algildur
algínat	algat
algolin	algolinu
algos	aðalgos
algrimi	algrími
alhambra	alhamra
"alheimsins"","	alheimsins
alicja	Alice
alinskur	linsur
alinuð	linuð
alinyð	aldinið
alisa	alísa
álitshnekkur	álitshnekkir
alkala	alkana
alkenda	alhenda
alkiðun	alfriðun
alkir	allir
alkis	alki
alkóholista	alkóhólista
alkostar	valkostar
alkýl	alkul
all	alla
allae	alla
allah	alla
allann	allan
alldraður	aldraður
allfarið	alfarið
allfur	allur
allgent	algengt
allheimskur	alheimskur
allheimsur	alheimskur
allherja	allsherjar
allherjar	allsherjar
alli🚾🚾🚾🚾	allt
allikur	allríkur
allkenda	alhenda
allkunngur	alkunnugur
allmannavarnir	almannavarnir
allmenilega	almennilega
allmenilegur	almennilegur
allmenn	almenn
allmennilega	almennilega
allmennings	almennings
allmenns	almenns
allmennt	almennt
allmennur	almennur
allseki	alseki
allsgóður	algóður
allshendis	allsendis
allsir	allir;Alsír
allskonae	allskonar
allskýjað	alskýjað
allskynd	allskyns
allsnægtyir	allsnægtir
alltag	alltaf
alltav	alltaf
alltstór	allstór
allvanalegur	alvanalegur
allvitur	alvitur
allþektur	alþekktur
allþing	alþing
allþingi	alþingi
allþjóðadómstóll	alþjóðadómstóll
almanna	almenna
almannar	almennar
almannlegur	karlmannlegur
almannur	almennur
almar	Almar;Almarr
almen	almenn
almenalega	almennilega
almennann	almennan
almennatengil	almannatengil
almennlegur	almennilegur
almenntur	almennur
almennurlega	almennilega
almentur	almennur
almer	almar
almest	aflmest
alminnilega	almennilega
almmenn	almenn
almmenur	almennur
almúgut	almúginn
almvitur	alvitur
almvítur	alhvítur
áln	álna
alnætti	almætti
alnasta	galnasta
alnnokkuð	allnokkuð
alnokkuð	allnokkuð
alpumst	álpumst
alrabil	aldabil
alredi	alrefi
alríkur	allríkur
alsal	alsæl
alska	elska
alskins	allskyns
alsl	alls
alsnæ	asna
alsnæg	allsnægt
alsnægta	allsnægta
alsnjóugur	snjóugur
alsráðandi	allsráðandi
alsrei	aldrei
alsskyns	allskyns
alster	allsterk
alsýn	alsýni
alsystkini	alsystkinin
alsytur	alsystur
altælda	aldæla
altaf	alltaf
altaíska	alkalíska
altarana	altaranna
altarann	saltarann
altav	alta;alltaf
altennt	almennt
altent	alhent;altént
althing	alþing;alþingi;Alþingi
altt	allt
alun	laun
alunnast	alkunnast
alurði	aliði;afurð;afurðir
alvaldið	alvaldi;alvaldur
alvalegur	alvarlegur
alvef	alveg
alvelður	aflveður
alverlegur	alvarlegur
alvíkingur	Dalvíkingur
alvitr	alvitur
alvítur	alvitur
alvoru	alvöru
alvörugeifnn	alvörugefinn
alvwg	alveg
alxander	Alexander
alxin	alin
alþænni	alþánni
alþenni	almenni
alþingishúsið,	alþingishúsið
alþingu	alþingi;Alþingi
alþinni	alþingi;Alþingi
alþínni	alþíði
alþjóðahei	alþjóðaheri
alþjódlegar	alþjóðlegar
alþjódlegur	alþjóðlegur
alþjóðleur	alþjóðlegur
alþonni	alþánni
alþónni	alþánni
alþönni	alþánni
alþúnni	alþánni
alþýnni	alþánni
am	ám
amaka	maka;ómaka
amalgam	amalegum
aman	saman;gaman
amapa	ramapa;amaba
amariga	marga
amarika	Ameríka
amarleg	amaleg
amaro	amar
amax	max
ambót	ambátt
ameæ	ama
amerar	merar
ameriku	Ameríku
amilíu	Amalíu;Emilíu;Emelíu
amingi	aumingi
aminingur	almenningur
áminnig	áminning
amlætis	samlætis
amlauni	launi
amlin	alin
ammóníak	ammoníak
amms	amma
ammu	ömmu;amma
ammunnar	ömmunnar
amorist	morsist
ampíra	vampíra
amúra	múra
amynning	áminning
amþraut	alþraut
ana-	ana
anaat	hanaat
anaðist	annaðist
ánæg	ánægð
anægdur	ánægður
anægður	ánægður
ánægdur	ánægður
ánægjuleg	ánægjuleg
ánægjulegt	ánægjulegt
ánægjulegur	ánægjulegur
anaegt	ánægt
ánægur	ánægður
anal	aðal
anananas	ananas;ansans
ananans	ananas;ansans
anarkískur	antarktískur
anarkó	arnarkló
anars	annars
anast	annast
anbaga	ambaga
anbar	annar
anbögur	ambögur
andaðisk	andaðist
andadrátt	andardrátt
andadráttur	andardráttur
andæfingi	andæfingin;andæfing
andán	andan
andarauk	andartök
andardrættur	andardrættir;andardráttur
andardratt	andardrátt
andardtáttur	andardráttur
andatúngum	sandatúnum
andazt	andast
anddryi	anddyri
anddryri	anddyri
anddyrir	anddyri
anden	andan
andere	Anders
andira	Andra
andirinu	andrinu;anddyrinu
andka	anda
andkaf	andköf
andköt	andköf
andlátit	andláti
andletið	andlitið
andlislaus	andlitslaus
andlislausur	andlitslausir
andlistdrættina	andlitsdrættina
andlistdrættir	andlitsdrættir
andlitiđ	andlitið
andm´l	andmæl;andmæli
andpænis	andspænis
andr´s	Andrés
andrésína	Andresína
andrumsloftið	andrúmsloftið
andrýmii	andrými
andsæt	andstætt
andsalt	andsvalt
andset	handset
andseta	andsetna
andsetja	handsetja
andsettur	andsetinn
andskottin	andskotinn
andslitin	andlitin;andarslitrin
anðstaða	aðstaða
andstæ	andstæð
andstæd	andstæð
andstæda	andstæða
andstædur	andstæður
anðstæður	aðstæður
andstæöa	andstæða
andstygg	andstyggð
andtakt	andakt
andvarða	landvarða
andvarið	andsvarið
andvegi	öndvegi
andvon	andvön
andvörð	landvörð
andyii	andi
andyri	anddyri;Andri
andyrí	anddyri;Andri
andýri	anddyri;Andri
andyrið	anddyrið
andyrinu	anddyrinu
andyrr	andir;anddyri
andyrri	anddyri
anér	anir
angantry	Angantý
angantýxs	Angantýs
angel	Angela
angistafullur	angistarfullur
angnalok	augnalok
angnalokin	augnalokin
angry	angri
anisíum	asíum
ankannanlega	ankannalega
ankannanlegur	ankannalegur
ankinum	tankinum
anl	al
anlátið	andlátið
anliti	andliti
anlitið	andlitið
annabel	Annabella
annadð	annað
annahvort	annaðhvort
annalín	fannalín
annanð	annað
annann	annan
annannu	annanna
annarrinnar	annarinnar
annarro	annarra;annarri
annarrra	annarra
annarsamur	annasamur
annat	annað
annelies	Annels;Anneli
annesu	annesi
annkannalega	ankannalega
annkannalegur	ankannalegur
annkannanlega	ankannalega
annnan	annan
annnar	annar
annnars	annars
anns	manns
annur	önnur;annar
anný	Anný
anríkur	annríkur
anrríki	annríki
ansetin	andsetin
anskkotin	aðskotin
anskota	andskota
anskotan	andskotans
anskotanum	andskotanum
ansrk	dansk
anstandendur	aðstandendur
antilópi	antilópu
antlit	andlit
antonn	Anton
antsflug	landsflug
anum	ánum
anur	vanur
aö	að
aóa	sóa
aofa	sofa
aögu	sögu;atlögu
aonu	konu
aöunn	ölunn;önn;Þórunn
ap	að
apáú	apá;Apá;spá
apðstoða	aðstoða
apelsina	appelsína
apelsíni	appelsíni
apelsinu	appelsínu
apelsínu	appelsínu
apelsínugulur	appelsínugulur
apesína	appelsína
apgengi	aðgengi
apilsina	pilsinu;appelsína
aplauni	apaungi;aflraunir
aplisafi	eplasafi
apötek	apótek
apoteki	apóteki
apotekið	apótekið
apotekin	apótekin
apotekina	apótekinu
apótekina	apótekinu
apótheki	apóteki
appels	uppelst;Annels;appelsína
appelsin	appelsín
appelsina	appelsína
appélsina	appelsína
appelsínasafa	appelsínusafa
appelsinasafi	appelsínusafi
appelsínasafi	appelsínusafi
appelsingular	appelsínugular
appelsingulur	appelsínugulur
appelsínugluur	appelsínugulur
appelsinugúlur	appelsínugulur
appelsinur	appelsínur
appelsinúr	appelsínur
appélsinur	appelsínur
appelsínurgul	appelsínugul
appelsinusafi	appelsínusafi
appelsínusafu	appelsínusafi
appelssina	appelsína
appeslínu	appelsínu
applesínu	appelsínu
applesínur	appelsínur
appzlsína	appelsína
aprí	apríl
aprík	apríl
april	apríl
apstoða	aðstoða
aptíum	partíum
aptr	apar;aftur
apúðar	púðar
aŕ	að;ár
arab	araba;Araba
arabisk	arabísk
áræðanlegur	áreiðanlegur
aræmu	ræmu
arangur	árangur
arangursrými	farangursrými
aransonar	Arasonar;Aronssonar
ararinn	arinn;Þórarinn
ararn	arann
arás	árás
áras	árás
arbaer	arabar;Arabar
arbeyga	arneyga;armbeygja
arbeyja	arneyga;armbeygja
arbnar	arnar;arabana;Arabana
arðra	aðra
areiðanleur	áreiðanlegur
arekstar	árekstrar
arendi	sendi;Aurendi
ares	Ares
aresera	rasera
arfærin	varfærin
arfasáti	arfasátu
arfek	afrek
arfík	Afríka;Afríku;traffík
arﬂeið	arfleifð;leið;reið
arfleiðar	arfleifðar
arganns	argaðs;fargans
argans	fargans;agans;argaðs
argentía	Argentína
argentina	Argentína
argentinskur	argentínskur
argetískur	argentínskur
argrímsson	Arngrímsson
argue	argur
argus	angus;argur
aríaðna	Aríana
ariel	Aríel
arinbjörrn	Arinbjörn
arj	Ari
arjan	argan
arjóður	sjóður;rjóður
arkefí	skef
arkítektur	arkitektar;arkitektúr
arkon	Aron
armbandsúurin	armbandsúrin
armbeiga	armbeygja
armbeija	armbeygja
armdís	Arndís
armists	armasts
armlaus	arflaus
armsband	armband
armue	armur
arnahól	Arnarhól
arnason	Arnarson
arnast	annast
arnastofun	Árnastofnun
arngrimur	Arngrímur
arnjótur	Arnljótur
arnljotur	Arnljótur
arnlótur	Arnljótur
arnnarri	annarri
arnólfur	Örnólfur
arnþráður	Arnþrúður
arnþruður	Arnþrúður
arór	Arnór;órar
arsímann	farsímann
arsti	Ari
arstid	Astrid;árstíð
arstið	arið;árstíð
árstið	árstíð
árt	ár
arteria	tería
artería	tería
artöl	ártöl
arts	Artúrs;arta;art
artþ	art
arvarlegur	alvarlegur
arvu	aríu
ary	Ari
as	ás;asi
asað	ansað
asáð	sáð;allsgáð
asaðari	austari;dasaðri
asbjörn	Ásbjörn
ásdis	Ásdís
asðstæður	aðstæður
aseran	serían
aséran	sérann
asfasf	aspas
asfkur	askur
asgrímur	Ásgrímur
askavaðandi	askvaðandi
askemmtilegar	skemmtilegar
aslauni	launi
asleiðing	afleiðing
aslf	alfa
asmaða	asmað
asmaði	amaði;asmað
asmaðs	asmað
asmaðu	asmað
asnið	snið
asólarströnd	sólarströnd
aspes	spes;aspas
a­spjöll	spjöll
assist	massist
asskotin	asskotinn;asskoti
asstmi	astma
assýrskur	assýrískur
astæda	ástæða
astarhug	ástarhug
asteignasolunni	fasteignasölunni
astfanginn	ástfanginn
asthma	astma
astís	Ásdís
astófa	stofa
astralía	Ástralía
astróp	skróp
astros	Ástrós
ástrós	Ástrós
asty	kasti
astyr	styr
asuturstræti	Austurstræti
asýla	sýla
asylgjunni	sylgjunni
atafla	tafla
atall	stall
atapil	gatabil
atari	altari
atbúrð	atburð
atburðaás	atburðarás
atbúrðarás	atburðarás
atburðarríkur	atburðaríkur
atbúrðir	atburðir
atbúrðurin	atburðurinn
atbúrðurinn	atburðurinn
atelur	telur
atggervi	atgervi
athæfur	athæfi
athafast	aðhafast
athafnarkona	athafnakona
athafnur	athafnir
athagana	athugana
athburð	atburð
athending	afhending
athendingu	afhendingu
athhyglisvert	athyglisvert
athigly	athygli
athöf	athöfn
at­huga­	athuga
athugas-m	athugasöm
athugasamdir	athugasemdir
athugasemdi	athugasemdir
athugasemðir	athugasemdir
at­hugsa	athuga
athugulun	athugulum
athuguml	athugul
athugumþ	athugum
athyglisjúkur	athyglissjúkur
athyglj	athygli
atilla	stilla
atiss	atist
atkaur	ataður
atkvæðimesti	atkvæðamesti
atlagi	atlaga
atlandshaf	Atlantshaf
atlants	Atlanta
atlantus	Atlanta
atlatla	Atlanta
atofa	stofa
atofngerð	stofngerð
atogi	togi
atök	átök
atóljóð	atómljóð
atólljóð	atómljóð
atólmljóð	atómljóð
atonni	tonni
atormur	stormur
atórt	stórt
atrætó	strætó
atraujárn	straujárn
atrenu	atrennu
atriåi	atriði
atriðsins	atriðisins
atrii	atriði
atrýni	trýni
atsegir	afsegir
atslag	afslag
attað	áttað
attan	aftan
attgent	ættgengt
atthygli	athygli
áttján	átján
attriði	atriði
attu	áttu
áttugasti	átttugasti
attur	aftur
atughun	athugun
atuttur	stuttur
atvík	atvik
atvikorð	atviksorð
atvinnleysi	atvinnuleysi
atvinnu·laus	atvinnulaus
atvinnuaus	atvinnulaus
atvinnuhúsæði	atvinnuhúsnæði
atvinnuleysisbót	atvinnuleysisbóta
atvinnuleysistryggingargjald	atvinnuleysistryggingagjald
atvinnumenska	atvinnumennska
atvinnureikanda	atvinnurekanda
atvinnureikandi	atvinnurekandi
atvinnureikenda	atvinnurekenda
atvinnusbætur	atvinnubætur
at­vinnu­við­tal	atvinnuviðtal
atystan	stystan
au	að
áu	áttu;á
auasa	ausa
auðelt	auðvelt
auðfela	auðvelda
auðgara	nauðgara
auðigr	auðir;auðugur
auðigur	auðugur
auðil	auði
auðiur	auður
auðka	auka;auðga
audkenna	auðkenna
auðkennig	auðkenning
auðleærð	auðlærð
auðlegp	auðleg
auðlerður	auðlærður
auðljóst	augljóst
auðlveldur	auðveldur
auðmatti	auðmanni
auðmjúkleg	auðmjúklega;auðmjúk
auðmjúklegur	auðmjúkur;auðmjúklega
auðmjúlegur	auðmjúkur
auðnari	auðnar
auðnis	auðnist
auðnn	Auðunn;auðn
auðns	Auðuns
audorf	Adolf
auðr	auður;Auður
auðssöfnun	auðsöfnun
auðssvi	auðnarsvip
auðúlfur	rauðúlfur
audunn	Auðunn
auðunns	Auðuns
auðunnson	Auðunsson
auðunnsson	Auðunsson
auđur	auður;Auður
auðveæt	auðvelt
auðveðari	auðvæðari
auðveik	dauðveik
auðveikra	dauðveikra
auðveikur	dauðveikur
auðvel	auðvelt
audveld	auðveld
audvelð	auðveld
audveldara	auðveldara
audveldari	auðveldari
auðvelðdur	auðveldur
auðveldro	auðveldri
auðveldun	auðveldur
audveldur	auðveldur
auðvelður	auðveldur
auðvelfur	auðveldur
auðvelgur	auðveldur
auðvelk	auðvelt
auðvelkra	auðveldra
auðvelldur	auðveldur
auðveltlega	auðveldlega
auðveltur	auðveldur
auðvitatt	auðvitað
auðvitut	auðvituð
auðvyeltlega	auðveldlega
auðyr	auður
aufari	daufari
aufem	aum
aufln	öflun
aufundar	öfundar
aufusugestur	aufúsugestur
aug	auga;auk;taug
aúga	auga
augabrú	augabrún
augabrúir	augabrúnir
augabrúm	augabrún;augabrúnum
augabrun	augabrún
augabrúr	augabrún;augabrýr;augabrúnir
augabrýn	augabrýr;augabrún;augabrúnir
augahár	augnhár
augalega	aukalega
augalið	augaleið
augalíð	augaleið
augamið	augnamið
augandi	auðgandi
auganhár	augnhár
auganna	augnanna
augasta	augastað
augbrun	augabrún
augðan	auðan;áðan
augðann	agðann;áðan
augdropa	augndropa
augir	dugir;auðir
auglandi	ruglandi
auglið	auglit
auglíð	aulið
auglitis	augliti
augljósur	augljós
auglok	augnlok
auglúsinguna	auglýsinguna
auglýsar	auglýsir;auglýsa
auglysingu	auglýsingu
auglýsingur	auglýsingar
auglýsongar	auglýsingar
augnablíkið	augnablikið
augnabrú	augnabrún
augnabrúm	augnabrúnum
augnafagr	augnafagri
augnag	augna
augnarbrú	augnabrún
augnasamband	augnsamband
augnbrún	augnabrún;augabrún
augnbruna	augnabrúna;augabrúna
augnbrúna	augnabrúna
augnbrúnalenging	augabrúnalenging
augnbrýr	augnabrýr
augnhátabrettari	augnhárabrettari
augniblik	augnablik
augnkarl	augnakarl
augnlíð	augnglóð
augnsamaband	augnsamband
augntillit	augnatillit
augp	augu
augri	auri
augslum	augum
augsmyrsl	augnsmyrsl
augsmyrsli	augnsmyrsli
augstlum	austrum
augstum	augum
augsýni	augsýn
augt	augu
auguabrúni	augabrúnir
auguabrúnir	augabrúnir
augubrun	augabrún
augubrúni	augabrúnir
augubrúnir	augabrúnir
auha	auka;auga
auhugaverð	athugaverð
aúhugaverð	athugaverð;áhugaverð
aui	auki;auli
auir	aukir
aukaæ	auka
aukað	auka;aukið
aukaför	aukaförg
aukahlurir	aukahlutir
aukan	auka
aukandar	aukandi
aukastr	aukast
aukatriði	aukaatriði
aukaverkur	aukaverkun
aukhurð	aukahurð
aukiat	aukist
aukinat	aukinna;aukist
aukininn	aukinn
aukinns	aukins
aukn	aukin
auknist	aukist
auknunn	aukning;auknum
aukrast	aukast
auks	auk;hauks;lauks;bauks
auksins	aukins;hauksins;bauksins;lauksins
aukst	aukist;aukast
aukstur	akstur
aukt	auktu
auktur	auktu
auku	auki
aukur	haukur;Haukur;laukur;baukur
aukvað	aumkvað;eitthvað
aulagildur	aulagildrur
aulanu	aulanum
aulará	aular
aularáð	auraráð
aulasta	aulast
aulgóðan	algóðan
aull	sull;auli
ault	sult
aulýsir	auglýsir
aumað	amað
aumgóðan	taumgóðan
aumingo	aumingi
aumingur	aumingi
aumknunn	aumkunin
aumkr	aumkar
aumkunn	aumkun
aumkunna	aumkunina;aumkun
aumkunnarvert	aumkunarvert
aumkunnavert	aumkunarvert
aumkvun	aumkun
aumundan	aumlyndan
aun	aum
aungri	ungri;angri
aunýr	nýr
aupair	kaupir
aupit	kaupin
auranir	aurarnir
aurasti	auri
aurastir	aumastir
aurim	aurum
aursafn	aurasafn
aurstadæmin	furstadæmin
auru	aurum
aurug	auðug
aurugar	saurugar
aurv	aur
ausað	ausið
ausauka	auðsgauka
ausdu	austu
ausig	ausið
austaríki	Austurríki
austarriki	Austurríki
austarríki	Austurríki
auster	austur;austar
austeríki	austverki;Austurríki
austfirkur	austfirskur
austfiskur	austfirskur
aústralía	Ástralía
aústralíu	Ástralíu
austría	austra
austurí	austur;Austurríki
austuriki	Austurríki
austuríki	Austurríki
austuríkir	austurrískir;Austurríki
austurísku	austurrísku
austurríkum	austurrískum
austurrríki	Austurríki
austurrún	austurbrún
austurrýki	Austurríki
austurstræri	Austurstræti
austurströndi	austurströndin
ausuð	ausið
ausýn	augsýn
ausýni	auðsýni
auta	aura
aútkoma	útkoma
auttar	attar;utar;aftar
autti	autt;átti
auttir	attir;áttir
auttist	kuttist;áttist
auu	augu
auvirðuilegur	auvirðilegur
auvirðulegur	auvirðilegur
ava	afa
avacadó	avókadó
avakódó	avókadó
avalda	valda
avana	ávana
avar	var
avarpa	ávarpa
avaxtakörfu	ávaxtakörfu
avaxti	ávaxti;ávexti
avaxtur	ávöxtur;ávaxtir
avðentukrans	aðventukrans
avé	vé
aveg	alveg
áverkur	áverkar
avetir	veitir
avextir	ávextir
aviða	viða
avík	vík
avíntýri	ævintýri
avíntýrið	ævintýrið
avitur	vitur
avo	svo
avokad	avókadó
avokado	avókadó
avokadó	avókadó
avókado	avókadó
avoxtur	ávöxtur
ávoxtur	ávöxtur
avr	var
axá	laxá
axal	axel
axár	laxár
axarfirði	Öxarfirði
axarfjörður	Öxarfjörður
axari	axar
axarskapt	axarskaft
axarþes	axarnes
axas	axa
axcel	Axel
axek	Axel
axekl	Axel
axex	Axel
axillum	foxillum
axillur	allur;foxillur
axl	axla
axlan	axla
axlarnir	jaxlarnir;axlirnar
axlirs	axlir
axnar	asnar
axst	saxast
axun	oxun
axuna	sexuna
ayanna	augnanna
aygna	augna
ayra	aura
aysa	ausa
azerbaijaníska	aserska;Aserbaídsjan
aþingi	alþingi;Alþingi
aþols	óþols;þols
aþrenna	þrenna;atrenna
b ùok,enntu,	bókmenntir
b;ndur	bændur;bindur
b;r	býr;búr
b;ta	bæta;bíta;bóta
b.frestinum	frestinum
b.viðar	viðar;Viðar
b.viðmiðunar	viðmiðunar
b´0k	bök;bók
b´kasafnið	bókasafnið
b´kmenntir	bókmenntir
b´kur	bækur
b´ta	bæta;bíta;báta
b´z	bs
b~ill	bíll
b0rn	börn
ba	búa;bað;bar;vá;ná;bæ
bá	á
ba r n	barn
baaldur	Baldur
baátta	barátta
bababi	babbi
babar	bablar
babtterý	batterí
bach	bak
backpoka	bakpoka
backpokar	bakpokar
backpoki	bakpoki
bacon	búason;beikon
bad	bað
báð	bað;báðu
bađa	baða
báðan	báða
baðherberge	baðherbergi
baðherberggi	baðherbergi
baðherbigið	baðherbergið
báði	báðir;bæði
báðið	baðið
báðier	báðir
bàðir	báðir
baðja	biðja
baðk	bak;baðkar
báðloppa	baðsloppa
báðloppur	baðsloppur
baðlu	baulu
báðm	báðum
badmínton	badminton
báðri	báðir
baðsa	baðsalt
baðset	baðst;baðsett
badst	baðst
badstrond	baðströnd
badströnd	baðströnd
baðtu	baðstu
bádu	báðu
báðue	báðu;báðir
baðum	báðum
báður	báðir;báðum;Bárður
báðusts	báðust
baðvörur	baðvörður
bæaði	bæði
bæar	bæjar
bæár	bær
bæatur	bætur
bæbi	bæi;bæni
bæð	bæði;hæð
bæða	bæði;bræða
bæddist	fæddist;bætist
bædi	bæði
bædist	bætist
bæðoi	bæði
bæðou	bæðu
bæðui	bæði
bædurna	bændurna
bægs	bæs
bæil	bil
bæilum	bælum;bilum
bæin	bæinn
bæín	bæn
bæio	bæi
bæis	bæi
bæjarbúm	bæjarbúum
bæjatins	bæjarins
bæjga	bæja;bægja
bæji	bæi
bæjir	bæir
